+ cd /ocean/projects/cis230065p/ashah12/cautical
+ export PYTHONUNBUFFERED=1
+ PYTHONUNBUFFERED=1
+ python3 run_cadical_experiments.py -j 64 --command touch --timeout 1800
Running on 32 files  |  2 base combos x 10 reps  +  2 orderi combos x 1 reps
[UNSAT   ] 112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf base rep10 250.87s  |  e  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed…
[UNSAT   ] 21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_13.cnf base rep5  105.51s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_…
[UNSAT   ] 112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf base rep1  367.93s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixe…
[UNSAT   ] 112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf base rep4  367.93s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixe…
[UNSAT   ] 112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf base rep6  368.12s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixe…
[UNSAT   ] 112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf base rep7  368.57s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixe…
[UNSAT   ] 112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf base rep2  368.58s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixe…
[UNSAT   ] 112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf base rep8  368.72s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixe…
[UNSAT   ] 112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf base rep9  368.72s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixe…
[UNSAT   ] 112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf base rep10 368.81s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixe…
[UNSAT   ] 112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf base rep3  368.84s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixe…
[UNSAT   ] 112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixed-35percent-blocked.cnf base rep5  369.53s  |  e  --globaltouch=false /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/112b0ac22b2a567cd3badfed3a5497fd-mchess16-mixe…
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep2  599.37s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep5  600.14s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep9  600.64s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep10 600.83s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep4  601.82s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep7  602.99s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep3  603.56s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltouch=true /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
